2026-02-19 13:08:09.010 | INFO     | __main__:load_graph_pairs:68 - Loading data from /home/adrian/projects/ai-inventor/aii_pipeline/runs/run__20260219_082247/3_invention_loop/iter_3/gen_art/exp_id1_it3__opus/dependencies/data_id3_it1__opus/full_data_out.json
2026-02-19 13:08:09.032 | INFO     | __main__:load_graph_pairs:71 - Found 9 graph pairs
2026-02-19 13:08:09.034 | DEBUG    | __main__:load_graph_pairs:99 -   Loaded pair srg16_rook_vs_shrikhande: Rook_4x4 vs Shrikhande (n=16, category=srg_16_6_2_2)
2026-02-19 13:08:09.038 | DEBUG    | __main__:load_graph_pairs:99 -   Loaded pair srg25_paulus_g1_vs_g2: Paulus25_graph1 vs Paulus25_graph2 (n=25, category=srg_25_12_5_6)
2026-02-19 13:08:09.044 | DEBUG    | __main__:load_graph_pairs:99 -   Loaded pair srg25_paulus_g1_vs_g3: Paulus25_graph1 vs Paulus25_graph3 (n=25, category=srg_25_12_5_6)
2026-02-19 13:08:09.045 | DEBUG    | __main__:load_graph_pairs:99 -   Loaded pair srg26_paulus_g1_vs_g2: Paulus26_graph1 vs Paulus26_graph2 (n=26, category=srg_26_10_3_4)
2026-02-19 13:08:09.048 | DEBUG    | __main__:load_graph_pairs:99 -   Loaded pair csl41_skip2_vs_skip3: Gskip_41_2 vs Gskip_41_3 (n=41, category=csl_41)
2026-02-19 13:08:09.050 | DEBUG    | __main__:load_graph_pairs:99 -   Loaded pair csl41_skip4_vs_skip5: Gskip_41_4 vs Gskip_41_5 (n=41, category=csl_41)
2026-02-19 13:08:09.052 | DEBUG    | __main__:load_graph_pairs:99 -   Loaded pair csl41_skip6_vs_skip9: Gskip_41_6 vs Gskip_41_9 (n=41, category=csl_41)
2026-02-19 13:08:09.057 | DEBUG    | __main__:load_graph_pairs:99 -   Loaded pair csl41_skip11_vs_skip12: Gskip_41_11 vs Gskip_41_12 (n=41, category=csl_41)
2026-02-19 13:08:09.062 | DEBUG    | __main__:load_graph_pairs:99 -   Loaded pair csl41_skip13_vs_skip16: Gskip_41_13 vs Gskip_41_16 (n=41, category=csl_41)
2026-02-19 13:08:09.062 | INFO     | __main__:load_graph_pairs:105 - Loaded 9 graph pairs across categories: ['csl_41', 'srg_16_6_2_2', 'srg_25_12_5_6', 'srg_26_10_3_4']
2026-02-19 13:08:09.062 | INFO     | __main__:main:920 - ============================================================
2026-02-19 13:08:09.062 | INFO     | __main__:main:921 - PHASE 1: Primary ablation grid (5 inits x 4 NLs x T=1..20)
2026-02-19 13:08:09.062 | INFO     | __main__:main:922 - ============================================================
2026-02-19 13:08:09.062 | INFO     | __main__:run_ablation_grid:358 - Running ablation grid: 5 inits x 4 nonlinearities x T=1..20 x 9 pairs = 3600 evaluations
2026-02-19 13:08:09.081 | DEBUG    | __main__:run_ablation_grid:393 -   Init 'degree' is CONSTANT on pair srg16_rook_vs_shrikhande (vertex-transitive behavior)
2026-02-19 13:08:09.137 | DEBUG    | __main__:run_ablation_grid:393 -   Init 'clustering_coeff' is CONSTANT on pair srg16_rook_vs_shrikhande (vertex-transitive behavior)
2026-02-19 13:08:09.185 | DEBUG    | __main__:run_ablation_grid:393 -   Init 'pagerank' is CONSTANT on pair srg16_rook_vs_shrikhande (vertex-transitive behavior)
2026-02-19 13:08:09.211 | DEBUG    | __main__:run_ablation_grid:393 -   Init 'betweenness' is CONSTANT on pair srg16_rook_vs_shrikhande (vertex-transitive behavior)
2026-02-19 13:08:09.227 | DEBUG    | __main__:run_ablation_grid:393 -   Init 'eigvec_centrality' is CONSTANT on pair srg16_rook_vs_shrikhande (vertex-transitive behavior)
2026-02-19 13:08:09.270 | INFO     | __main__:run_ablation_grid:439 -   Pair 1/9 done: srg16_rook_vs_shrikhande (400/3600 configs)
2026-02-19 13:08:09.284 | DEBUG    | __main__:run_ablation_grid:393 -   Init 'degree' is CONSTANT on pair srg25_paulus_g1_vs_g2 (vertex-transitive behavior)
2026-02-19 13:08:09.308 | DEBUG    | __main__:run_ablation_grid:393 -   Init 'clustering_coeff' is CONSTANT on pair srg25_paulus_g1_vs_g2 (vertex-transitive behavior)
2026-02-19 13:08:09.326 | DEBUG    | __main__:run_ablation_grid:393 -   Init 'pagerank' is CONSTANT on pair srg25_paulus_g1_vs_g2 (vertex-transitive behavior)
2026-02-19 13:08:09.372 | DEBUG    | __main__:run_ablation_grid:393 -   Init 'betweenness' is CONSTANT on pair srg25_paulus_g1_vs_g2 (vertex-transitive behavior)
2026-02-19 13:08:09.418 | DEBUG    | __main__:run_ablation_grid:393 -   Init 'eigvec_centrality' is CONSTANT on pair srg25_paulus_g1_vs_g2 (vertex-transitive behavior)
2026-02-19 13:08:09.462 | INFO     | __main__:run_ablation_grid:439 -   Pair 2/9 done: srg25_paulus_g1_vs_g2 (800/3600 configs)
2026-02-19 13:08:09.463 | DEBUG    | __main__:run_ablation_grid:393 -   Init 'degree' is CONSTANT on pair srg25_paulus_g1_vs_g3 (vertex-transitive behavior)
2026-02-19 13:08:09.511 | DEBUG    | __main__:run_ablation_grid:393 -   Init 'clustering_coeff' is CONSTANT on pair srg25_paulus_g1_vs_g3 (vertex-transitive behavior)
2026-02-19 13:08:09.548 | DEBUG    | __main__:run_ablation_grid:393 -   Init 'pagerank' is CONSTANT on pair srg25_paulus_g1_vs_g3 (vertex-transitive behavior)
2026-02-19 13:08:09.599 | DEBUG    | __main__:run_ablation_grid:393 -   Init 'betweenness' is CONSTANT on pair srg25_paulus_g1_vs_g3 (vertex-transitive behavior)
2026-02-19 13:08:09.641 | DEBUG    | __main__:run_ablation_grid:393 -   Init 'eigvec_centrality' is CONSTANT on pair srg25_paulus_g1_vs_g3 (vertex-transitive behavior)
2026-02-19 13:08:09.684 | INFO     | __main__:run_ablation_grid:439 -   Pair 3/9 done: srg25_paulus_g1_vs_g3 (1200/3600 configs)
2026-02-19 13:08:09.693 | DEBUG    | __main__:run_ablation_grid:393 -   Init 'degree' is CONSTANT on pair srg26_paulus_g1_vs_g2 (vertex-transitive behavior)
